customer_id,first_name,last_name,email,age,gender,state,zip_code,signup_date,last_purchase_date,education_level,income,total_purchases,total_spent,avg_order_value,favorite_category,satisfaction_score,loyalty_program,days_since_last_purchase,discount_usage_rate,customer_comments,has_churned
CUST_005956,Victor,Smith,victor.smith@example.com,37,Female,CA,40062,04/30/2020,12/06/2020,High School,44736.571567481704,8,773.0992852483864,96.6374106560483,Clothing,3,None,1121,0.6999078785431749,-,False
CUST_009905,heidi,Smith,heidi.smith@example.com,38,Female,NC,69210,28-07-2021,17-01-2022,High School,51435.455963183565,22,511.4374969116243,23.247158950528377,Electronics,4,No,714,0.005004553210477769,Will buy again,False
CUST_000059,  Alice ,williams,alice.williams@example.com,65,Male,OH,35203,2020-10-07,09/21/2021,Bachelors,51135.83744669655,6,148.76639419285837,24.794399032143062,Clothing,4,No,832,0.7253876095206256,Average,False
CUST_006077,HEIDI,  White ,heidi.white@example.com,87,Female,MI,29750,21-06-2021,2022-07-13,None,null,1,22.903512202714985,22.903512202714985,Clothing,1,Yes,537,0.7945930081077105,Great service,False
CUST_001663,Judy,Taylor,judy.taylor@example.com,32,Male,FL,78676,04/01/2020,2021-02-02,PhD,119265.83998300038,1,32.38861284631487,32.38861284631487,Home,4,No,1063,0.7721065706596774,NA,False
CUST_000702,sybil,WILLIAMS,sybil.williams@example.com,40,Male,FL,52840,2022-09-27,13-12-2022,Bachelors,69435.68177215548,5,314.90451014199414,62.98090202839882,Electronics,3,No,384,0.2005659197063856,-,False
CUST_001923,BOB,JACKSON,bob.jackson@example.com,27,null,FL,38266,11-06-2021,08-07-2022,Bachelors,null,34,600.6884433958527,17.66730715870155,Home,2,Yes,542,0.7101548393773551,Great service,False
CUST_000336,Sybil,Thomas,sybil.thomas@example.com,26,Female,NY,91183,31-07-2022,2023-01-17,Masters,62966.05995075308,12,578.5247376230698,48.210394801922476,Electronics,1,Yes,349,0.222378484399271,Average,True
CUST_002850,JANE,HARRIS,jane.harris@example.com,30,Female,CA,79946,23-12-2021,02/11/2022,High School,25139.718178101233,7,97.7923393091261,13.970334187018015,Sports,,No,689,0.9861716488541875,Great service,False
CUST_009746,alice,  Jackson ,alice.jackson@example.com,18,Female,TX,59454,17-01-2021,12/13/2021,Bachelors,-,7,673.4932644070042,96.21332348671488,Electronics,4,Yes,749,0.9255328953802322,Great service,False
CUST_005837,EVE,Smith,eve.smith@example.com,21,,MI,29601,2022-07-22,15-08-2023,Bachelors,None,8,666.9832737244653,83.37290921555817,Toys,5,Yes,139,0.8282820244292076,Will buy again,False
CUST_000633,Charlie,Miller,charlie.miller@example.com,33,Male,MI,54020,02/11/2021,28-02-2022,Masters,76271.8026434537,4,423.23297900910666,105.80824475227666,Home,5,No,672,0.00043110953398051155,Terrible experience,False
CUST_002457,Alice,BROWN,alice.brown@example.com,30,Female,TX,37168,11/03/2021,07/13/2022,PhD,117558.07430529493,3,70.89584187826873,23.631947292756244,Toys,null,No,537,None,-,False
CUST_007581,mallory,Jones,mallory.jones@example.com,44,Male,NC,29510,22-03-2020,22-04-2020,Bachelors,88288.93621849632,4,192.17190697784346,48.042976744460866,Sports,5,null,1349,0.24365627977739523,Shipping was late,False
CUST_008922,  Victor ,  Williams ,victor.williams@example.com,34,,PA,92352,2022-02-17,04/11/2022,High School,null,9,752.7380826698113,83.63756474109015,Home,,No,630,0.603566979887799,N/A,True
CUST_008387,Diana,  Brown ,diana.brown@example.com,41,Male,NY,71483,27-03-2022,05/04/2022,High School,,2,96.57485606227591,48.28742803113796,Sports,4,No,607,0.3240107264105795,Shipping was late,False
CUST_009620,sybil,johnson,sybil.johnson@example.com,42,Female,PA,92180,2020-03-07,03/18/2021,High School,34842.01817790099,5,1302.215801865586,260.44316037311717,Electronics,3,No,1019,0.14960871067822523,N/A,False
CUST_006820,Sybil,harris,sybil.harris@example.com,46,Female,MI,69472,11-11-2021,15-02-2022,High School,36580.50594919312,3,159.86071574957248,53.2869052498575,Electronics,5,null,685,0.0959002029252024,Great service,True
CUST_002149,Victor,BROWN,victor.brown@example.com,35,NA,null,41029,2021-11-04,04/07/2022,PhD,None,4,148.96729588347424,37.24182397086856,Electronics,4,No,634,0.992818079664573,Great service,False
CUST_001595,Bob,anderson,bob.anderson@example.com,19,Male,FL,24918,09/19/2022,02/22/2023,High School,None,8,367.9936331334742,45.999204141684274,Electronics,,No,313,0.5387943049886155,Okay,True
CUST_006517,  Charlie ,thomas,charlie.thomas@example.com,59,Male,GA,78585,03/15/2021,09/17/2021,High School,55911.908304922195,2,57.432744447802534,28.716372223901267,Clothing,3,No,836,0.21484057643520338,NA,True
CUST_007610,eve,miller,eve.miller@example.com,49,Male,GA,99369,06-12-2021,2021-12-13,High School,52141.319136094775,10,649.5409775211949,64.9540977521195,Sports,4,No,749,0.758628769434466,Never arrived,False
CUST_008842,Sybil,Thomas,sybil.thomas@example.com,63,Male,NC,79922,23-12-2020,2021-04-15,Bachelors,55502.292139218,3,21.9561093290737,7.318703109691234,Toys,1,Yes,991,0.5456245308329453,None,False
